Time,Athlete,Swim Date
47.42,Gretchen Walsh,3/22/2024
48.25,Gretchen Walsh,2/22/2024
48.46,Kate Douglass,3/17/2023
48.84,Kate Douglass,2/16/2023
48.89,Maggie MacNeil,3/19/2021
49.26,Louise Hansson,3/22/2019
49.34,Louise Hansson,3/1/2019
49.43,Kelsi Dahlia,3/18/2016
